date,isfull,minutes
2022-02-08,1,561.0
2022-02-09,0,416.0
2022-02-09,1,526.0
2022-02-10,0,434.0
2022-02-10,1,458.00000000000006
2022-02-11,0,474.0
2022-02-11,1,441.0
2022-02-12,0,607.0
2022-02-12,1,333.0
2022-02-13,0,556.0
2022-02-13,1,307.0
2022-02-14,0,334.0
2022-02-14,1,666.0
2022-02-15,0,299.0
2022-02-15,1,503.0
2022-02-16,0,679.0
2022-02-16,1,224.0
2022-02-17,0,460.0
2022-02-17,1,460.0
2022-02-18,0,552.0
2022-02-18,1,406.0
2022-02-19,0,771.0
2022-02-19,1,38.0
2022-02-20,0,259.0
2022-02-20,1,425.0
2022-02-21,0,414.0
2022-02-21,1,520.0
2022-02-22,0,384.0
2022-02-22,1,561.0
2022-02-23,0,570.0
2022-02-23,1,206.0
2022-02-24,0,444.0
2022-02-24,1,453.0
2022-02-25,0,497.00000000000006
2022-02-25,1,171.0
2022-02-26,0,315.0
2022-02-26,1,604.0
2022-02-27,0,208.0
2022-02-27,1,723.0
2022-02-28,0,221.0
2022-02-28,1,574.0
2022-03-01,0,384.0
2022-03-01,1,612.0
2022-03-02,0,386.0
2022-03-02,1,466.0
2022-03-03,0,826.0000000000001
2022-03-03,1,53.00000000000001
2022-03-04,0,454.0
2022-03-04,1,457.0
2022-03-05,0,606.0
2022-03-05,1,188.00000000000003
2022-03-06,0,606.0
2022-03-06,1,101.0
2022-03-07,0,281.0
2022-03-07,1,620.0
2022-03-08,0,704.0
2022-03-08,1,125.00000000000001
2022-03-09,0,236.00000000000003
2022-03-09,1,597.0
2022-03-10,0,419.0
2022-03-10,1,360.0
2022-03-11,0,388.0
2022-03-11,1,402.0
2022-03-12,0,641.0
2022-03-12,1,168.0
2022-03-13,0,393.0
2022-03-13,1,393.0
2022-03-14,0,355.0
2022-03-14,1,515.0
2022-03-15,0,294.0
2022-03-15,1,570.0
2022-03-16,0,408.0
2022-03-16,1,517.0
2022-03-17,0,480.0
2022-03-17,1,499.0
2022-03-18,0,451.0
2022-03-18,1,393.0
2022-03-19,0,553.0
2022-03-19,1,365.0
2022-03-20,0,631.0
2022-03-20,1,276.00000000000006
2022-03-21,0,548.0
2022-03-21,1,477.00000000000006
2022-03-22,0,475.0
2022-03-22,1,441.0
2022-03-23,0,290.0
2022-03-23,1,459.0
2022-03-24,0,274.0
2022-03-24,1,345.0
2022-03-25,0,368.0
2022-03-25,1,373.00000000000006
2022-03-26,0,371.0
2022-03-26,1,428.0
2022-03-27,0,646.0
2022-03-27,1,162.00000000000003
2022-03-28,0,267.0
2022-03-28,1,540.0
2022-03-29,0,514.0
2022-03-29,1,481.0
2022-03-30,0,283.0
2022-03-30,1,772.0
2022-03-31,0,209.00000000000003
