date,begin,end,isprod
2022-05-17,2022-05-17 20:12:00,2022-05-17 20:51:00,1
2022-05-17,2022-05-17 20:04:00,2022-05-17 20:12:00,1
2022-05-17,2022-05-17 20:00:00,2022-05-17 20:04:00,1
2022-05-17,2022-05-17 19:29:00,2022-05-17 20:00:00,0
2022-05-17,2022-05-17 18:00:00,2022-05-17 19:29:00,0
2022-05-17,2022-05-17 17:31:00,2022-05-17 18:00:00,0
2022-05-17,2022-05-17 16:20:00,2022-05-17 17:31:00,0
2022-05-17,2022-05-17 16:04:00,2022-05-17 16:20:00,1
2022-05-17,2022-05-17 16:01:00,2022-05-17 16:04:00,2
2022-05-17,2022-05-17 15:54:00,2022-05-17 16:01:00,1
2022-05-17,2022-05-17 15:47:00,2022-05-17 15:53:00,2
2022-05-17,2022-05-17 15:37:00,2022-05-17 15:47:00,2
2022-05-17,2022-05-17 15:05:00,2022-05-17 15:37:00,0
2022-05-17,2022-05-17 13:52:00,2022-05-17 15:05:00,1
2022-05-17,2022-05-17 13:30:00,2022-05-17 13:52:00,1
2022-05-17,2022-05-17 13:12:00,2022-05-17 13:30:00,2
2022-05-17,2022-05-17 11:44:00,2022-05-17 13:12:00,1
2022-05-17,2022-05-17 11:37:00,2022-05-17 11:44:00,0
2022-05-17,2022-05-17 11:32:00,2022-05-17 11:37:00,2
2022-05-17,2022-05-17 10:48:00,2022-05-17 11:32:00,1
2022-05-17,2022-05-17 09:50:00,2022-05-17 10:48:00,2
2022-05-17,2022-05-17 01:44:00,2022-05-17 01:59:00,2
2022-05-17,2022-05-17 01:32:00,2022-05-17 01:44:00,0
2022-05-17,2022-05-17 00:23:00,2022-05-17 01:32:00,2
2022-05-17,2022-05-17 00:22:00,2022-05-17 00:22:00,1
2022-05-16,2022-05-16 20:36:00,2022-05-17 00:01:00,1
2022-05-16,2022-05-16 20:19:00,2022-05-16 20:36:00,0
2022-05-16,2022-05-16 19:28:00,2022-05-16 20:19:00,2
2022-05-16,2022-05-16 18:25:00,2022-05-16 19:28:00,0
2022-05-16,2022-05-16 17:52:00,2022-05-16 18:25:00,1
2022-05-16,2022-05-16 15:48:00,2022-05-16 17:52:00,1
2022-05-16,2022-05-16 15:37:00,2022-05-16 15:48:00,0
2022-05-16,2022-05-16 15:15:00,2022-05-16 15:36:00,1
2022-05-16,2022-05-16 14:56:00,2022-05-16 15:15:00,2
2022-05-16,2022-05-16 14:56:00,2022-05-16 14:56:00,1
2022-05-16,2022-05-16 14:52:00,2022-05-16 14:56:00,1
2022-05-16,2022-05-16 14:47:00,2022-05-16 14:52:00,2
2022-05-16,2022-05-16 14:35:00,2022-05-16 14:47:00,1
2022-05-16,2022-05-16 14:27:00,2022-05-16 14:35:00,2
2022-05-16,2022-05-16 14:15:00,2022-05-16 14:24:00,2
2022-05-16,2022-05-16 14:03:00,2022-05-16 14:15:00,2
2022-05-16,2022-05-16 12:01:00,2022-05-16 13:58:00,1
2022-05-16,2022-05-16 11:48:00,2022-05-16 12:01:00,0
2022-05-16,2022-05-16 11:01:00,2022-05-16 11:48:00,2
2022-05-16,2022-05-16 10:00:00,2022-05-16 11:01:00,2
2022-05-16,2022-05-16 01:14:00,2022-05-16 01:27:00,2
2022-05-16,2022-05-16 00:59:00,2022-05-16 01:14:00,2
2022-05-16,2022-05-16 00:47:00,2022-05-16 00:59:00,1
2022-05-16,2022-05-16 00:27:00,2022-05-16 00:47:00,0
2022-05-15,2022-05-15 21:30:00,2022-05-16 00:27:00,0
2022-05-15,2022-05-15 19:19:00,2022-05-15 21:30:00,1
2022-05-15,2022-05-15 19:01:00,2022-05-15 19:19:00,1
2022-05-15,2022-05-15 18:51:00,2022-05-15 19:01:00,1
2022-05-15,2022-05-15 17:47:00,2022-05-15 18:51:00,0
2022-05-15,2022-05-15 15:38:00,2022-05-15 17:47:00,1
2022-05-14,2022-05-14 17:00:00,2022-05-15 00:55:00,0
2022-05-14,2022-05-14 03:49:00,2022-05-14 03:57:00,2
2022-05-14,2022-05-14 03:38:00,2022-05-14 03:49:00,0
2022-05-14,2022-05-14 03:18:00,2022-05-14 03:38:00,0
2022-05-14,2022-05-14 02:36:00,2022-05-14 03:18:00,2
2022-05-14,2022-05-14 00:37:00,2022-05-14 02:36:00,0
2022-05-14,2022-05-14 00:28:00,2022-05-14 00:36:00,1
2022-05-13,2022-05-13 20:46:00,2022-05-14 00:19:00,1
2022-05-13,2022-05-13 20:13:00,2022-05-13 20:46:00,0
2022-05-13,2022-05-13 19:59:00,2022-05-13 20:13:00,2
2022-05-13,2022-05-13 18:39:00,2022-05-13 19:59:00,1
2022-05-13,2022-05-13 18:26:00,2022-05-13 18:39:00,0
2022-05-13,2022-05-13 18:22:00,2022-05-13 18:26:00,1
2022-05-13,2022-05-13 18:20:00,2022-05-13 18:22:00,2
2022-05-13,2022-05-13 18:10:00,2022-05-13 18:20:00,1
2022-05-13,2022-05-13 18:00:00,2022-05-13 18:10:00,1
2022-05-13,2022-05-13 17:23:00,2022-05-13 18:00:00,1
2022-05-13,2022-05-13 17:20:00,2022-05-13 17:23:00,2
2022-05-13,2022-05-13 16:34:00,2022-05-13 17:19:00,1
2022-05-13,2022-05-13 16:33:00,2022-05-13 16:34:00,1
2022-05-13,2022-05-13 15:53:00,2022-05-13 16:33:00,0
2022-05-13,2022-05-13 15:50:00,2022-05-13 15:53:00,0
2022-05-13,2022-05-13 15:44:00,2022-05-13 15:50:00,1
2022-05-13,2022-05-13 15:39:00,2022-05-13 15:44:00,2
2022-05-13,2022-05-13 15:31:00,2022-05-13 15:39:00,2
2022-05-13,2022-05-13 15:00:00,2022-05-13 15:31:00,2
2022-05-13,2022-05-13 14:40:00,2022-05-13 15:00:00,2
2022-05-13,2022-05-13 14:16:00,2022-05-13 14:40:00,0
2022-05-13,2022-05-13 13:44:00,2022-05-13 14:08:00,1
2022-05-13,2022-05-13 13:40:00,2022-05-13 13:42:00,2
2022-05-13,2022-05-13 13:10:00,2022-05-13 13:40:00,0
2022-05-13,2022-05-13 11:59:00,2022-05-13 13:10:00,0
2022-05-13,2022-05-13 11:30:00,2022-05-13 11:59:00,1
2022-05-13,2022-05-13 01:34:00,2022-05-13 01:42:00,2
2022-05-13,2022-05-13 01:20:00,2022-05-13 01:34:00,1
2022-05-13,2022-05-13 00:38:00,2022-05-13 01:20:00,2
2022-05-13,2022-05-13 00:12:00,2022-05-13 00:35:00,0
2022-05-12,2022-05-12 23:54:00,2022-05-13 00:12:00,1
2022-05-12,2022-05-12 23:42:00,2022-05-12 23:52:00,1
2022-05-12,2022-05-12 23:25:00,2022-05-12 23:42:00,0
2022-05-12,2022-05-12 23:08:00,2022-05-12 23:25:00,2
2022-05-12,2022-05-12 18:57:00,2022-05-12 23:08:00,1
2022-05-12,2022-05-12 18:13:00,2022-05-12 18:57:00,0
2022-05-12,2022-05-12 17:51:00,2022-05-12 18:13:00,0
2022-05-12,2022-05-12 17:33:00,2022-05-12 17:51:00,2
2022-05-12,2022-05-12 17:06:00,2022-05-12 17:33:00,0
2022-05-12,2022-05-12 15:31:00,2022-05-12 17:06:00,1
2022-05-12,2022-05-12 15:10:00,2022-05-12 15:35:00,2
2022-05-12,2022-05-12 14:30:00,2022-05-12 15:16:00,2
2022-05-12,2022-05-12 13:12:00,2022-05-12 14:30:00,1
2022-05-12,2022-05-12 12:44:00,2022-05-12 13:12:00,2
2022-05-12,2022-05-12 12:27:00,2022-05-12 12:35:00,1
2022-05-12,2022-05-12 12:19:00,2022-05-12 12:27:00,2
2022-05-12,2022-05-12 12:10:00,2022-05-12 12:19:00,2
2022-05-12,2022-05-12 12:02:00,2022-05-12 12:10:00,2
2022-05-12,2022-05-12 11:45:00,2022-05-12 12:01:00,2
2022-05-12,2022-05-12 11:32:00,2022-05-12 11:45:00,1
2022-05-12,2022-05-12 10:00:00,2022-05-12 11:29:00,1
2022-05-12,2022-05-12 09:40:00,2022-05-12 10:00:00,2
2022-05-12,2022-05-12 04:50:00,2022-05-12 10:00:00,1
2022-05-12,2022-05-12 00:27:00,2022-05-12 04:32:00,1
2022-05-11,2022-05-11 23:55:00,2022-05-12 00:27:00,0
2022-05-11,2022-05-11 23:55:00,2022-05-11 23:55:00,0
2022-05-11,2022-05-11 23:52:00,2022-05-11 23:55:00,2
2022-05-11,2022-05-11 23:49:00,2022-05-11 23:52:00,0
2022-05-11,2022-05-11 23:46:00,2022-05-11 23:49:00,2
2022-05-11,2022-05-11 23:41:00,2022-05-11 23:46:00,2
